index,feature_name,feature_type
0,res_ratio,built_env
1,com_ratio,built_env
2,mix_build,built_env
3,mix_land,built_env
4,gen_idx,built_env
5,attr_idx,built_env
6,cpi,built_env
7,ti_score,built_env
8,risk_lvl,built_env
9,bld_cnt,built_env
10,LocalDepthR,syntax
11,AvgDepth,syntax
12,DepthStd,syntax
13,LocalIntegrationR,syntax
14,GlobalIntegration,syntax
15,NormalizedIntegration,syntax
16,IsovistArea,syntax
17,IsovistVolume,syntax
18,Connectivity,syntax
19,Visibility,syntax
20,TransparencyAdjustedVisibility,syntax
21,sample_count,syntax
22,neighbor_count,syntax
23,path_path_depth_mean,syntax
24,ControlValue,syntax
25,VisibleSurfacePoints,syntax
