feature,correlation_with_error
path_path_depth_mean,-0.36179420177789234
IsovistArea,-0.16644175563578237
IsovistVolume,-0.15689070328974344
AvgDepth,-0.12801038413241667
res_ratio,-0.030466253759235225
ti_score,-0.02526397978066213
gen_idx,-0.02276532469722116
com_ratio,-0.015143977342427178
bld_cnt,-0.012927254519428189
cpi,-0.00335615183133918
mix_build,-0.0030840617161147508
risk_lvl,0.004135658223343193
attr_idx,0.01563696467869545
mix_land,0.022813448415386593
ControlValue,0.08895512100819998
VisibleSurfacePoints,0.08943185096148226
LocalIntegrationR,0.09470222059002299
GlobalIntegration,0.09470222059002299
NormalizedIntegration,0.0947055891966251
Visibility,0.15400541449116736
TransparencyAdjustedVisibility,0.154044146609517
LocalDepthR,0.16734515129743285
DepthStd,0.17406143122234033
Connectivity,0.18101562247175595
sample_count,0.18527593831138645
neighbor_count,0.3062680207848029
error,1.0
