fid,x,y,road_length,local_mean_depth_R,local_integration_R,visibility_ratio,transparency_visibility,neighbor_count,depth_sample_count,Angular Co,Connectivi,T1024 Choi,T1024 Inte,T1024 Tota,Choice,Harmonic M,Integratio,Intensity,Mean Depth,Node Count
0,13537096.350487,3488752.073,1559.825082,14,0.2,0.3333,0.2114,6,3,5.6203575,7,6021,310.41498,7900.25,3422,8.0470781,0.23295021,0.1715645,35.494568,1566
1,13519153.507296,3424813.78,1210.367308,20,0.05,0,0,6,1,2.1312604,4,10122,314.50998,7797.3867,4677,7.9912491,0.23295021,0.17152223,35.494568,1566
2,13506845.872974,3410142.766,701.026442,20,0.05,0,0,4,1,1.7360468,3,12803,314.50998,7797.3867,2079,7.9063606,0.22750944,0.16802956,36.319489,1566
3,13504482.052494,3395952.762,1814.572089,20,0.05,0,0,6,1,0.3602469,3,21295,315.16571,7781.1641,1134,7.8271074,0.22308211,0.16534109,37.020447,1566
4,13490509.014830,3542916.381,580.774099,20,0.05,0,0,0,1,0.094306931,2,23954,320.71762,7646.4648,3380,7.550633,0.22893003,0.16902825,36.100319,1566
5,13531002.449673,3485521.502,215.570304,2,0.5,0.3333,0.2176,2,1,0.051192839,2,26626,320.71762,7646.4648,6303,7.5066991,0.23518513,0.1731046,35.166775,1566
6,13527812.869302,3486077.641,379.814075,20,0.05,0,0,10,1,0.067756429,2,29297,323.82785,7573.0234,9271,7.7537708,0.24189864,0.1777638,34.218529,1566
7,13531462.178376,3485397.838,780.775234,20,0.05,0,0,4,1,2.0167546,4,31966,324.80225,7550.3047,12316,8.0700436,0.24918924,0.18286203,33.246647,1566
8,13531936.670670,3485940.192,125.115653,20,0.05,0,0,6,1,3.9897256,6,37157,325.78592,7527.5078,56522,8.1329794,0.25609058,0.18740796,32.377636,1566
9,13532786.118041,3486338.539,628.915645,16.833,0.2083,1,0.6105,9,1,2.0457115,4,57663,316.24033,7754.7227,20527,8.0467005,0.2554248,0.18678671,32.459423,1566
10,13532698.339119,3485282.879,752.907628,16.4,0.14,0.3333,0.2067,4,1,0.12062809,2,54906,314.33521,7801.7227,51412,7.7291207,0.24785826,0.18154567,33.419807,1566
11,13531196.473980,3483627.267,128.606476,20,0.05,0,0,9,1,0.10449825,2,52145,309.21375,7930.9414,48406,7.4392643,0.24072711,0.17654435,34.380192,1566
12,13531234.462048,3484477.528,943.588114,13.833,0.2833,0.1667,0.147,5,2,0.047130875,2,49381,308.3002,7954.4414,45400,7.2482238,0.23399483,0.17198187,35.340576,1566
13,13531727.458998,3484558.379,269.726059,12.8,0.23,0.5,0.3339,7,2,0.03685756,2,46622,306.71793,7995.4766,42394,7.4476471,0.22762887,0.16785246,36.300957,1566
14,13532417.889697,3485379.504,591.311273,15.5,0.1625,0,0,4,1,0.007377294,2,43862,306.49301,8001.3438,39388,7.6008863,0.2216001,0.16378538,37.261341,1566
15,13540265.533337,3489187.537,483.43648,17.429,0.1143,0,0,11,1,2.1061194,4,41098,306.49301,8001.3438,36481,7.6721244,0.21588245,0.15984745,38.221725,1566
16,13533245.753814,3484909.658,375.979994,16.4,0.14,0,0,17,2,4.2142797,6,11743,300.30655,8166.1758,19739,7.5799632,0.2110139,0.15654646,39.080513,1566
17,13533720.553373,3485740.022,720.921043,20,0.05,0,0,3,1,2.1203802,4,2872,295.13025,8309.4023,3128,7.3794765,0.20566487,0.15270454,40.070927,1566
18,13533876.785717,3485880.894,185.501361,20,0.05,0,0,4,1,0.013916949,1,0,294.48071,8327.7305,0,6.7861595,0.20053555,0.14894775,41.070286,1566
19,13535443.719834,3486480.901,292.125695,20,0.05,0,0,8,1,0.04567543,1,0,56.041451,3.015625,0,1.1666666,0.27553129,0.6831581,6.5,13
20,13536387.750858,3485274.834,96.768286,20,0.05,0,0,16,1,0.095951587,2,22,66.457756,2.5429688,22,1.2380953,0.33063754,0.78528291,5.5833335,13
21,13539053.436344,3484693.12,322.834819,20,0.05,0,0,14,1,0.10696203,2,40,79.675873,2.1210938,40,1.3333334,0.39532751,0.89789504,4.8333335,13
22,13546387.113179,3486825.554,742.982617,20,0.05,0,0,2,1,0.090574548,2,54,97.222473,1.7382813,54,1.4666667,0.46628374,1.0106652,4.25,13
23,13533343.993231,3487091.298,1634.960577,14.857,0.1786,0.1667,0.1465,11,2,0.03686728,2,64,106.82469,1.5820313,64,1.6666666,0.53485489,1.1031902,3.8333333,13
24,13501939.071620,3529997.366,1269.675849,20,0.05,0,0,1,1,0.061881803,2,70,106.82469,1.5820313,70,2,0.58661503,1.1468426,3.5833333,13
